,city_id,valid_st,missing_st,wonkiness_st,valid_tr,missing_tr,wonkiness_tr,city,country,total_stations,total_tracks,avg_wonkiness
164,357,162,0,0.0,18,0,0.0,Busan,South Korea,162,18,0.0
165,358,258,0,0.0,46,0,0.0,Taipei,Taiwan,258,46,0.0
166,359,17,0,0.0,4,0,0.0,Macau,China,17,4,0.0
167,361,65,0,0.0,58,0,0.0,Tegal,Indonesia,65,58,0.0
168,362,2,0,0.0,2,0,0.0,Changchun,China,2,2,0.0
169,363,149,0,0.0,12,0,0.0,Changsha,China,149,12,0.0
170,364,463,0,0.0,48,0,0.0,Chengdu,China,463,48,0.0
171,365,102,0,0.0,131,0,0.0,Dalian,China,102,131,0.0
172,366,15,0,0.0,4,0,0.0,Dongguan,China,15,4,0.0
173,367,64,0,0.0,15,0,0.0,Fuzhou,China,64,15,0.0
174,368,55,0,0.0,31,0,0.0,Guiyang,China,55,31,0.0
175,369,361,0,0.0,43,0,0.0,Hangzhou,China,361,43,0.0
176,370,78,0,0.0,10,0,0.0,Harbin,China,78,10,0.0
177,373,43,0,0.0,12,0,0.0,Jinan,China,43,12,0.0
178,375,115,0,0.0,41,0,0.0,Kunming,China,115,41,0.0
179,376,20,0,0.0,3,0,0.0,Lanzhou,China,20,3,0.0
180,379,293,0,0.0,46,0,0.0,Qingdao,China,293,46,0.0
181,380,92,0,0.0,7,0,0.0,Shenyang,China,92,7,0.0
182,381,441,0,0.0,121,0,0.0,Shenzhen,China,441,121,0.0
183,382,63,0,0.0,10,0,0.0,Shijiazhuang,China,63,10,0.0
184,383,47,0,0.0,2,0,0.0,Taiyuan,China,47,2,0.0
185,384,311,0,0.0,103,0,0.0,Tianjin,China,311,103,0.0
186,385,18,0,0.0,16,0,0.0,Wenzhou,China,18,16,0.0
187,386,308,0,0.0,37,0,0.0,Wuhan,China,308,37,0.0
188,387,71,0,0.0,7,0,0.0,Xiamen,China,71,7,0.0
189,390,296,0,0.0,59,0,0.0,Zhengzhou,China,296,59,0.0
190,393,23,0,0.0,9,0,0.0,Turin,Italy,23,9,0.0
191,394,51,0,0.0,33,0,0.0,Chennai,India,51,33,0.0
192,395,56,0,0.0,138,0,0.0,Málaga,Spain,56,138,0.0
193,398,11,0,0.0,4,0,0.0,Jaipur,India,11,4,0.0
194,400,5,0,0.0,1,0,0.0,Valladolid,Spain,5,1,0.0
195,402,59,0,0.0,45,0,0.0,Hyderabad,India,59,45,0.0
196,407,34,0,0.0,8,0,0.0,Tel Aviv,Israel,34,8,0.0
197,408,69,0,0.0,28,0,0.0,Kaohsiung,Taiwan,69,28,0.0
198,409,122,0,0.0,19,0,0.0,Bangalore,India,122,19,0.0
199,410,14,0,0.0,2,0,0.0,Kanpur,India,14,2,0.0
200,411,54,0,0.0,12,0,0.0,Ahmedabad,India,54,12,0.0
201,412,89,0,0.0,14,0,0.0,Daegu,South Korea,89,14,0.0
202,413,75,0,0.0,40,0,0.0,Dubai,United Arab Emirates,75,40,0.0
203,414,36,0,0.0,17,0,0.0,Minsk,Belarus,36,17,0.0
204,415,52,0,0.0,52,0,0.0,Kiev,Ukraine,52,52,0.0
205,416,298,0,0.0,40,0,0.0,Xi'an,China,298,40,0.0
206,417,201,0,0.0,32,0,0.0,Ningbo,China,201,32,0.0
207,418,213,0,0.0,16,0,0.0,Hefei,China,213,16,0.0
208,419,24,0,0.0,3,0,0.0,Hanoi,Vietnam,24,3,0.0
209,420,351,0,0.0,39,0,0.0,Suzhou,China,351,39,0.0
210,422,2,0,0.0,1,0,0.0,Pereira,Colombia,2,1,0.0
211,424,52,0,0.0,7,0,0.0,Lahore,Pakistan,52,7,0.0
212,426,33,0,0.0,6,0,0.0,Islamabad,Pakistan,33,6,0.0
213,432,30,0,0.0,14,0,0.0,Palermo,Italy,30,14,0.0
214,433,68,0,0.0,23,0,0.0,Catania,Italy,68,23,0.0
215,438,51,0,0.0,15,0,0.0,Palma,Spain,51,15,0.0
216,442,14,0,0.0,1,0,0.0,Tarragona,Spain,14,1,0.0
217,445,26,0,0.0,1,0,0.0,Granada,Spain,26,1,0.0
218,446,43,0,0.0,11,0,0.0,Cádiz,Spain,43,11,0.0
219,456,19,0,0.0,21,0,0.0,Taichung,Taiwan,19,21,0.0
220,459,142,0,0.0,29,0,0.0,Thessaloniki,Greece,142,29,0.0
221,460,24,0,0.0,3,0,0.0,Ho Chi Minh City,Vietnam,24,3,0.0
222,461,8,0,0.0,2,0,0.0,Bhopal,India,8,2,0.0
223,462,42,0,0.0,24,0,0.0,Baku,Azerbaijan,42,24,0.0
224,463,139,0,0.0,6,0,0.0,Porto,Portugal,139,6,0.0
225,464,38,0,0.0,5,0,0.0,Nagpur,India,38,5,0.0
226,466,21,0,0.0,3,0,0.0,Lucknow,India,21,3,0.0
227,467,11,0,0.0,2,0,0.0,Agra,India,11,2,0.0
228,468,23,0,0.0,3,0,0.0,Indore,India,23,3,0.0
229,470,10,0,0.0,7,0,0.0,Yerevan,Armenia,10,7,0.0
230,474,47,0,0.0,9,0,0.0,Mashhad,Iran,47,9,0.0
231,477,172,0,0.0,105,0,0.0,Poznań,Poland,172,105,0.0
232,485,59,0,0.0,140,0,0.0,Tampere,Finland,59,140,0.0
